Segment,PropReg,PropWeek,PropBase,Distance,Winner,Margin
1-BEN-MRC,"(0.1044776119402985, 'Baseline')","(0.13432835820895522, 'Weekday')","(0.19402985074626866, 'Regular')",2,Regular,0.05970149253731344
1-BMT-DEM,"(0.016129032258064516, 'Weekday')","(0.016129032258064516, 'Baseline')","(0.08064516129032258, 'Regular')",7,Regular,0.06451612903225806
1-DEM-BEN,"(0.15, 'Baseline')","(0.25, 'Regular')","(0.35, 'Weekday')",2,Weekday,0.09999999999999998
1-DEM-TUS,"(0.1044776119402985, 'Baseline')","(0.13432835820895522, 'Regular')","(0.22388059701492538, 'Weekday')",3,Weekday,0.08955223880597016
1-DRT-SND,"(0.21794871794871795, 'Regular')","(0.2692307692307692, 'Weekday')","(0.4358974358974359, 'Baseline')",1,Baseline,0.16666666666666669
1-DRT-TUS,"(0.01282051282051282, 'Baseline')","(0.038461538461538464, 'Weekday')","(0.11538461538461539, 'Regular')",7,Regular,0.07692307692307693
1-ELP-BEN,"(0.22388059701492538, 'Regular')","(0.22388059701492538, 'Weekday')","(0.2835820895522388, 'Baseline')",3,Baseline,0.05970149253731341
1-ELP-LAX,"(0.0, 'Baseline')","(0.05194805194805195, 'Weekday')","(0.11688311688311688, 'Regular')",10,Regular,0.06493506493506493
1-HOS-ALP,"(0.013888888888888888, 'Weekday')","(0.027777777777777776, 'Regular')","(0.1111111111111111, 'Baseline')",4,Baseline,0.08333333333333333
1-LFT-BMT,"(0.0821917808219178, 'Baseline')","(0.1095890410958904, 'Weekday')","(0.1643835616438356, 'Regular')",2,Regular,0.0547945205479452
1-LFT-LCH,"(0.1527777777777778, 'Weekday')","(0.18055555555555555, 'Regular')","(0.2916666666666667, 'Baseline')",1,Baseline,0.11111111111111113
1-MRC-PSN,"(0.12987012987012986, 'Regular')","(0.14285714285714285, 'Baseline')","(0.2597402597402597, 'Weekday')",2,Weekday,0.11688311688311687
1-MRC-YUM,"(0.15384615384615385, 'Baseline')","(0.19230769230769232, 'Regular')","(0.32051282051282054, 'Weekday')",1,Weekday,0.12820512820512822
1-NOL-BEN,"(0.03278688524590164, 'Weekday')","(0.04918032786885246, 'Regular')","(0.11475409836065574, 'Baseline')",14,Baseline,0.06557377049180328
1-NOL-ELP,"(0.027777777777777776, 'Regular')","(0.041666666666666664, 'Weekday')","(0.09722222222222222, 'Baseline')",11,Baseline,0.05555555555555556
1-NOL-HOS,"(0.0547945205479452, 'Baseline')","(0.0684931506849315, 'Weekday')","(0.1232876712328767, 'Regular')",6,Regular,0.0547945205479452
1-NOL-LDB,"(0.027777777777777776, 'Weekday')","(0.041666666666666664, 'Regular')","(0.1111111111111111, 'Baseline')",13,Baseline,0.06944444444444445
1-NOL-NIB,"(0.0, 'Baseline')","(0.1506849315068493, 'Weekday')","(0.273972602739726, 'Regular')",2,Regular,0.1232876712328767
1-NOL-POS,"(0.0, 'Weekday')","(0.03125, 'Regular')","(0.109375, 'Baseline')",20,Baseline,0.078125
1-NOL-SCH,"(0.0, 'Baseline')","(0.2054794520547945, 'Weekday')","(0.3013698630136986, 'Regular')",1,Regular,0.0958904109589041
1-ONA-LAX,"(0.013513513513513514, 'Baseline')","(0.43243243243243246, 'Regular')","(0.5, 'Weekday')",2,Weekday,0.06756756756756754
1-ONA-POS,"(0.7910447761194029, 'Weekday')","(0.8059701492537313, 'Regular')","(0.9552238805970149, 'Baseline')",1,Baseline,0.14925373134328357
1-POS-LAX,"(0.014492753623188406, 'Baseline')","(0.6086956521739131, 'Weekday')","(0.6811594202898551, 'Regular')",1,Regular,0.07246376811594202
1-SAS-DRT,"(0.04225352112676056, 'Baseline')","(0.056338028169014086, 'Regular')","(0.11267605633802817, 'Weekday')",1,Weekday,0.056338028169014086
1-SAS-LAX,"(0.0, 'Regular')","(0.0, 'Weekday')","(0.08571428571428572, 'Baseline')",14,Baseline,0.08571428571428572
1-SAS-SND,"(0.0, 'Baseline')","(0.028169014084507043, 'Regular')","(0.08450704225352113, 'Weekday')",2,Weekday,0.05633802816901408
1-SCH-BMT,"(0.0547945205479452, 'Baseline')","(0.0958904109589041, 'Weekday')","(0.1506849315068493, 'Regular')",4,Regular,0.0547945205479452
1-SCH-YUM,"(0.013888888888888888, 'Regular')","(0.013888888888888888, 'Weekday')","(0.06944444444444445, 'Baseline')",16,Baseline,0.05555555555555556
1-SND-ELP,"(0.05128205128205128, 'Weekday')","(0.10256410256410256, 'Baseline')","(0.15384615384615385, 'Regular')",2,Regular,0.051282051282051294
1-SND-LAX,"(0.025974025974025976, 'Regular')","(0.025974025974025976, 'Baseline')","(0.09090909090909091, 'Weekday')",12,Weekday,0.06493506493506493
1-SND-LDB,"(0.038461538461538464, 'Weekday')","(0.05128205128205128, 'Regular')","(0.11538461538461539, 'Baseline')",4,Baseline,0.06410256410256411
1-SND-ONA,"(0.04, 'Regular')","(0.05333333333333334, 'Baseline')","(0.10666666666666667, 'Weekday')",10,Weekday,0.05333333333333334
1-SND-YUM,"(0.038461538461538464, 'Regular')","(0.0641025641025641, 'Weekday')","(0.14102564102564102, 'Baseline')",8,Baseline,0.07692307692307693
1-TUS-LAX,"(0.025974025974025976, 'Baseline')","(0.06493506493506493, 'Regular')","(0.12987012987012986, 'Weekday')",6,Weekday,0.06493506493506493
1-TUS-POS,"(0.04285714285714286, 'Weekday')","(0.08571428571428572, 'Regular')","(0.14285714285714285, 'Baseline')",5,Baseline,0.057142857142857134
1-TUS-PSN,"(0.09090909090909091, 'Weekday')","(0.1038961038961039, 'Regular')","(0.16883116883116883, 'Baseline')",3,Baseline,0.06493506493506493
1-TUS-YUM,"(0.1282051282051282, 'Regular')","(0.14102564102564102, 'Weekday')","(0.19230769230769232, 'Baseline')",2,Baseline,0.051282051282051294
11-ALY-DUN,"(0.15, 'Regular')","(0.15625, 'Weekday')","(0.2625, 'Baseline')",4,Baseline,0.10625000000000001
11-ALY-EMY,"(0.1125, 'Regular')","(0.175, 'Weekday')","(0.23125, 'Baseline')",10,Baseline,0.05625000000000002
11-ALY-OKJ,"(0.06962025316455696, 'Baseline')","(0.0949367088607595, 'Regular')","(0.15822784810126583, 'Weekday')",11,Weekday,0.06329113924050633
11-ALY-OXN,"(0.0967741935483871, 'Regular')","(0.14193548387096774, 'Baseline')","(0.2064516129032258, 'Weekday')",17,Weekday,0.06451612903225806
11-ALY-PRB,"(0.10256410256410256, 'Regular')","(0.14743589743589744, 'Weekday')","(0.22435897435897437, 'Baseline')",14,Baseline,0.07692307692307693
11-ALY-RDD,"(0.14375, 'Weekday')","(0.1625, 'Regular')","(0.25625, 'Baseline')",5,Baseline,0.09374999999999997
11-ALY-SBA,"(0.11538461538461539, 'Baseline')","(0.1282051282051282, 'Regular')","(0.19230769230769232, 'Weekday')",16,Weekday,0.06410256410256412
11-ALY-SIM,"(0.026845637583892617, 'Regular')","(0.04697986577181208, 'Baseline')","(0.174496644295302, 'Weekday')",18,Weekday,0.12751677852348992
11-ALY-VNC,"(0.03225806451612903, 'Baseline')","(0.1870967741935484, 'Regular')","(0.24516129032258063, 'Weekday')",19,Weekday,0.05806451612903224
11-CIC-OKJ,"(0.08227848101265822, 'Baseline')","(0.22151898734177214, 'Weekday')","(0.2721518987341772, 'Regular')",5,Regular,0.05063291139240508
11-CIC-SAC,"(0.00625, 'Baseline')","(0.25625, 'Regular')","(0.34375, 'Weekday')",1,Weekday,0.08750000000000002
11-CIC-SLO,"(0.01910828025477707, 'Baseline')","(0.17197452229299362, 'Weekday')","(0.2484076433121019, 'Regular')",9,Regular,0.07643312101910829
11-CIC-VNC,"(0.019230769230769232, 'Baseline')","(0.14743589743589744, 'Regular')","(0.21153846153846154, 'Weekday')",13,Weekday,0.0641025641025641
11-CMO-OXN,"(0.0967741935483871, 'Baseline')","(0.23225806451612904, 'Regular')","(0.2838709677419355, 'Weekday')",15,Weekday,0.051612903225806445
11-CMO-SBA,"(0.12738853503184713, 'Regular')","(0.12738853503184713, 'Baseline')","(0.17834394904458598, 'Weekday')",14,Weekday,0.05095541401273884
11-CMO-SNS,"(0.16560509554140126, 'Baseline')","(0.24203821656050956, 'Regular')","(0.2929936305732484, 'Weekday')",11,Weekday,0.05095541401273884
11-CTL-ALY,"(0.25157232704402516, 'Weekday')","(0.2893081761006289, 'Regular')","(0.33962264150943394, 'Baseline')",5,Baseline,0.05031446540880502
11-CTL-CIC,"(0.1320754716981132, 'Regular')","(0.16981132075471697, 'Weekday')","(0.22012578616352202, 'Baseline')",11,Baseline,0.05031446540880505
11-CTL-DAV,"(0.0880503144654088, 'Regular')","(0.11949685534591195, 'Weekday')","(0.5345911949685535, 'Baseline')",13,Baseline,0.41509433962264153
11-CTL-DUN,"(0.11320754716981132, 'Regular')","(0.16352201257861634, 'Weekday')","(0.31446540880503143, 'Baseline')",9,Baseline,0.1509433962264151
11-CTL-EMY,"(0.11949685534591195, 'Regular')","(0.12578616352201258, 'Weekday')","(0.4716981132075472, 'Baseline')",15,Baseline,0.3459119496855346
11-CTL-KEL,"(0.8050314465408805, 'Weekday')","(0.8113207547169812, 'Baseline')","(0.8867924528301887, 'Regular')",1,Regular,0.07547169811320753
11-CTL-MTZ,"(0.0880503144654088, 'Weekday')","(0.11320754716981132, 'Regular')","(0.3710691823899371, 'Baseline')",14,Baseline,0.25786163522012573
11-CTL-OXN,"(0.1038961038961039, 'Regular')","(0.2077922077922078, 'Weekday')","(0.33766233766233766, 'Baseline')",22,Baseline,0.12987012987012986
11-CTL-PDX,"(0.0440251572327044, 'Baseline')","(0.4276729559748428, 'Regular')","(0.48427672955974843, 'Weekday')",3,Weekday,0.05660377358490565
11-CTL-PRB,"(0.05806451612903226, 'Regular')","(0.10967741935483871, 'Weekday')","(0.535483870967742, 'Baseline')",19,Baseline,0.42580645161290326
11-CTL-RDD,"(0.11320754716981132, 'Regular')","(0.11320754716981132, 'Weekday')","(0.27672955974842767, 'Baseline')",10,Baseline,0.16352201257861634
11-CTL-SBA,"(0.14102564102564102, 'Regular')","(0.1794871794871795, 'Weekday')","(0.27564102564102566, 'Baseline')",21,Baseline,0.09615384615384617
11-CTL-SIM,"(0.03355704697986577, 'Baseline')","(0.04697986577181208, 'Regular')","(0.18791946308724833, 'Weekday')",23,Weekday,0.14093959731543626
11-CTL-SLM,"(0.2974683544303797, 'Weekday')","(0.31645569620253167, 'Regular')","(0.37341772151898733, 'Baseline')",4,Baseline,0.05696202531645567
11-CTL-SNS,"(0.07051282051282051, 'Regular')","(0.09615384615384616, 'Weekday')","(0.5961538461538461, 'Baseline')",18,Baseline,0.5
11-CTL-VAN,"(0.5859872611464968, 'Weekday')","(0.643312101910828, 'Baseline')","(0.7070063694267515, 'Regular')",2,Regular,0.06369426751592355
11-DAV-MTZ,"(0.55, 'Baseline')","(0.7375, 'Weekday')","(0.8375, 'Regular')",1,Regular,0.09999999999999998
11-DAV-SLO,"(0.044585987261146494, 'Baseline')","(0.2802547770700637, 'Weekday')","(0.33121019108280253, 'Regular')",7,Regular,0.05095541401273884
11-DAV-VNC,"(0.02564102564102564, 'Baseline')","(0.1987179487179487, 'Regular')","(0.2692307692307692, 'Weekday')",11,Weekday,0.07051282051282051
11-DUN-CIC,"(0.2125, 'Regular')","(0.25, 'Weekday')","(0.3875, 'Baseline')",2,Baseline,0.1375
11-DUN-OXN,"(0.18181818181818182, 'Baseline')","(0.19480519480519481, 'Weekday')","(0.24675324675324675, 'Regular')",13,Regular,0.05194805194805194
11-DUN-RDD,"(0.5031446540880503, 'Weekday')","(0.5283018867924528, 'Regular')","(0.6477987421383647, 'Baseline')",1,Baseline,0.11949685534591192
11-DUN-SJC,"(0.11538461538461539, 'Baseline')","(0.14743589743589744, 'Regular')","(0.22435897435897437, 'Weekday')",8,Weekday,0.07692307692307693
11-DUN-SLO,"(0.019230769230769232, 'Baseline')","(0.1346153846153846, 'Regular')","(0.22435897435897437, 'Weekday')",11,Weekday,0.08974358974358976
11-EMY-BUR,"(0.033783783783783786, 'Baseline')","(0.22972972972972974, 'Regular')","(0.2905405405405405, 'Weekday')",10,Weekday,0.06081081081081077
11-EMY-LAX,"(0.03225806451612903, 'Baseline')","(0.18064516129032257, 'Regular')","(0.23870967741935484, 'Weekday')",11,Weekday,0.05806451612903227
11-EMY-OXN,"(0.23225806451612904, 'Baseline')","(0.2838709677419355, 'Regular')","(0.3548387096774194, 'Weekday')",7,Weekday,0.07096774193548389
11-EMY-SBA,"(0.17834394904458598, 'Weekday')","(0.2356687898089172, 'Baseline')","(0.28662420382165604, 'Regular')",6,Regular,0.05095541401273884
11-EMY-SJC,"(0.12738853503184713, 'Baseline')","(0.31210191082802546, 'Weekday')","(0.3821656050955414, 'Regular')",2,Regular,0.07006369426751596
11-EMY-SLO,"(0.044585987261146494, 'Baseline')","(0.24203821656050956, 'Weekday')","(0.31210191082802546, 'Regular')",5,Regular,0.07006369426751591
11-EMY-SNS,"(0.40764331210191085, 'Regular')","(0.445859872611465, 'Weekday')","(0.5031847133757962, 'Baseline')",3,Baseline,0.0573248407643312
11-EMY-VNC,"(0.02564102564102564, 'Baseline')","(0.1794871794871795, 'Regular')","(0.2948717948717949, 'Weekday')",9,Weekday,0.11538461538461539
11-EUG-BUR,"(0.0684931506849315, 'Baseline')","(0.10273972602739725, 'Weekday')","(0.1780821917808219, 'Regular')",19,Regular,0.07534246575342465
11-EUG-EMY,"(0.12578616352201258, 'Weekday')","(0.1320754716981132, 'Regular')","(0.20754716981132076, 'Baseline')",9,Baseline,0.07547169811320756
11-EUG-MTZ,"(0.1069182389937107, 'Regular')","(0.11949685534591195, 'Weekday')","(0.20125786163522014, 'Baseline')",8,Baseline,0.08176100628930819
11-EUG-OKJ,"(0.10191082802547771, 'Regular')","(0.15286624203821655, 'Weekday')","(0.24203821656050956, 'Baseline')",10,Baseline,0.089171974522293
11-EUG-SAC,"(0.050314465408805034, 'Baseline')","(0.11320754716981132, 'Regular')","(0.16981132075471697, 'Weekday')",6,Weekday,0.05660377358490565
11-EUG-SIM,"(0.05405405405405406, 'Regular')","(0.10810810810810811, 'Baseline')","(0.16891891891891891, 'Weekday')",17,Weekday,0.0608108108108108
11-KEL-ALY,"(0.2138364779874214, 'Weekday')","(0.2830188679245283, 'Regular')","(0.37735849056603776, 'Baseline')",4,Baseline,0.09433962264150947
11-KEL-CIC,"(0.1069182389937107, 'Weekday')","(0.12578616352201258, 'Regular')","(0.23270440251572327, 'Baseline')",10,Baseline,0.1069182389937107
11-KEL-DAV,"(0.0880503144654088, 'Regular')","(0.13836477987421383, 'Weekday')","(0.4716981132075472, 'Baseline')",12,Baseline,0.33333333333333337
11-KEL-DUN,"(0.14465408805031446, 'Regular')","(0.1509433962264151, 'Weekday')","(0.2893081761006289, 'Baseline')",8,Baseline,0.13836477987421383
11-KEL-EMY,"(0.11320754716981132, 'Weekday')","(0.12578616352201258, 'Regular')","(0.4025157232704403, 'Baseline')",14,Baseline,0.2767295597484277
11-KEL-MTZ,"(0.1069182389937107, 'Weekday')","(0.11949685534591195, 'Regular')","(0.3018867924528302, 'Baseline')",13,Baseline,0.18238993710691823
11-KEL-PDX,"(0.025157232704402517, 'Baseline')","(0.6037735849056604, 'Weekday')","(0.6540880503144654, 'Regular')",2,Regular,0.05031446540880502
11-KEL-PRB,"(0.07741935483870968, 'Regular')","(0.11612903225806452, 'Weekday')","(0.44516129032258067, 'Baseline')",18,Baseline,0.32903225806451614
11-KEL-RDD,"(0.10062893081761007, 'Regular')","(0.1320754716981132, 'Weekday')","(0.27044025157232704, 'Baseline')",9,Baseline,0.13836477987421383
11-KEL-SIM,"(0.040268456375838924, 'Baseline')","(0.04697986577181208, 'Regular')","(0.16778523489932887, 'Weekday')",22,Weekday,0.12080536912751678
11-KEL-SLM,"(0.25949367088607594, 'Weekday')","(0.2974683544303797, 'Regular')","(0.4430379746835443, 'Baseline')",3,Baseline,0.14556962025316456
11-KEL-SNS,"(0.07692307692307693, 'Regular')","(0.1282051282051282, 'Weekday')","(0.4807692307692308, 'Baseline')",17,Baseline,0.3525641025641026
11-KEL-VNC,"(0.025806451612903226, 'Baseline')","(0.1870967741935484, 'Weekday')","(0.27741935483870966, 'Regular')",23,Regular,0.09032258064516127
11-KFS-RDD,"(0.1625, 'Baseline')","(0.2125, 'Weekday')","(0.26875, 'Regular')",2,Regular,0.056249999999999994
11-MTZ-SLO,"(0.07643312101910828, 'Baseline')","(0.267515923566879, 'Weekday')","(0.3503184713375796, 'Regular')",6,Regular,0.08280254777070062
11-MTZ-VNC,"(0.02564102564102564, 'Baseline')","(0.1794871794871795, 'Regular')","(0.2692307692307692, 'Weekday')",10,Weekday,0.08974358974358973
11-OKJ-BUR,"(0.060810810810810814, 'Baseline')","(0.20945945945945946, 'Regular')","(0.2702702702702703, 'Weekday')",9,Weekday,0.06081081081081083
11-OKJ-SJC,"(0.17197452229299362, 'Baseline')","(0.4394904458598726, 'Weekday')","(0.4968152866242038, 'Regular')",1,Regular,0.0573248407643312
11-OKJ-SLO,"(0.07006369426751592, 'Baseline')","(0.28662420382165604, 'Weekday')","(0.3630573248407643, 'Regular')",4,Regular,0.07643312101910826
11-OKJ-SNS,"(0.2229299363057325, 'Baseline')","(0.445859872611465, 'Weekday')","(0.535031847133758, 'Regular')",2,Regular,0.08917197452229297
11-OKJ-VNC,"(0.057692307692307696, 'Baseline')","(0.15384615384615385, 'Regular')","(0.28205128205128205, 'Weekday')",8,Weekday,0.1282051282051282
11-OLW-CIC,"(0.1069182389937107, 'Regular')","(0.1320754716981132, 'Weekday')","(0.24528301886792453, 'Baseline')",12,Baseline,0.11320754716981132
11-OLW-DAV,"(0.07547169811320754, 'Regular')","(0.12578616352201258, 'Weekday')","(0.5283018867924528, 'Baseline')",14,Baseline,0.4025157232704403
11-OLW-DUN,"(0.10062893081761007, 'Regular')","(0.1320754716981132, 'Weekday')","(0.3584905660377358, 'Baseline')",10,Baseline,0.22641509433962262
11-OLW-EMY,"(0.0880503144654088, 'Weekday')","(0.1069182389937107, 'Regular')","(0.44654088050314467, 'Baseline')",16,Baseline,0.339622641509434
11-OLW-EUG,"(0.22784810126582278, 'Weekday')","(0.24050632911392406, 'Regular')","(0.3037974683544304, 'Baseline')",7,Baseline,0.06329113924050633
11-OLW-MTZ,"(0.08176100628930817, 'Regular')","(0.12578616352201258, 'Weekday')","(0.37735849056603776, 'Baseline')",15,Baseline,0.2515723270440252
11-OLW-OKJ,"(0.07643312101910828, 'Weekday')","(0.08280254777070063, 'Regular')","(0.16560509554140126, 'Baseline')",17,Baseline,0.08280254777070063
11-OLW-OXN,"(0.16883116883116883, 'Regular')","(0.24025974025974026, 'Weekday')","(0.38311688311688313, 'Baseline')",23,Baseline,0.14285714285714288
11-OLW-PRB,"(0.05806451612903226, 'Regular')","(0.16774193548387098, 'Weekday')","(0.535483870967742, 'Baseline')",20,Baseline,0.367741935483871
11-OLW-RDD,"(0.0880503144654088, 'Regular')","(0.12578616352201258, 'Weekday')","(0.29559748427672955, 'Baseline')",11,Baseline,0.16981132075471697
11-OLW-SBA,"(0.09032258064516129, 'Regular')","(0.1870967741935484, 'Weekday')","(0.23870967741935484, 'Baseline')",22,Baseline,0.051612903225806445
11-OLW-SIM,"(0.040268456375838924, 'Regular')","(0.053691275167785234, 'Baseline')","(0.15436241610738255, 'Weekday')",24,Weekday,0.10067114093959731
11-OLW-SLM,"(0.24203821656050956, 'Weekday')","(0.267515923566879, 'Regular')","(0.3821656050955414, 'Baseline')",5,Baseline,0.11464968152866245
11-OLW-SLO,"(0.04487179487179487, 'Baseline')","(0.08974358974358974, 'Regular')","(0.15384615384615385, 'Weekday')",21,Weekday,0.06410256410256411
11-OLW-SNS,"(0.0641025641025641, 'Regular')","(0.15384615384615385, 'Weekday')","(0.5705128205128205, 'Baseline')",19,Baseline,0.41666666666666663
11-OLW-VAN,"(0.5859872611464968, 'Baseline')","(0.6178343949044586, 'Weekday')","(0.6878980891719745, 'Regular')",3,Regular,0.07006369426751591
11-OXN-BUR,"(0.04794520547945205, 'Baseline')","(0.3561643835616438, 'Regular')","(0.5, 'Weekday')",3,Weekday,0.14383561643835618
11-OXN-LAX,"(0.006493506493506494, 'Baseline')","(0.3181818181818182, 'Regular')","(0.4090909090909091, 'Weekday')",4,Weekday,0.09090909090909094
11-OXN-SIM,"(0.07432432432432433, 'Baseline')","(0.6148648648648649, 'Weekday')","(0.777027027027027, 'Regular')",1,Regular,0.16216216216216206
11-OXN-VNC,"(0.06535947712418301, 'Baseline')","(0.39215686274509803, 'Regular')","(0.45098039215686275, 'Weekday')",2,Weekday,0.05882352941176472
11-PDX-DUN,"(0.025, 'Baseline')","(0.1, 'Regular')","(0.15625, 'Weekday')",6,Weekday,0.056249999999999994
11-PDX-OKJ,"(0.056962025316455694, 'Baseline')","(0.08227848101265822, 'Regular')","(0.13291139240506328, 'Weekday')",13,Weekday,0.050632911392405056
11-PDX-OXN,"(0.0967741935483871, 'Baseline')","(0.14838709677419354, 'Regular')","(0.2129032258064516, 'Weekday')",19,Weekday,0.06451612903225806
11-PDX-PRB,"(0.057692307692307696, 'Baseline')","(0.07692307692307693, 'Regular')","(0.14102564102564102, 'Weekday')",16,Weekday,0.0641025641025641
11-PDX-SAC,"(0.06875, 'Baseline')","(0.0875, 'Regular')","(0.1375, 'Weekday')",9,Weekday,0.05000000000000002
11-PDX-SLO,"(0.07643312101910828, 'Regular')","(0.10828025477707007, 'Weekday')","(0.2229299363057325, 'Baseline')",17,Baseline,0.11464968152866242
11-PDX-SNS,"(0.044585987261146494, 'Baseline')","(0.08280254777070063, 'Regular')","(0.18471337579617833, 'Weekday')",15,Weekday,0.1019108280254777
11-PRB-BUR,"(0.027210884353741496, 'Baseline')","(0.16326530612244897, 'Regular')","(0.3197278911564626, 'Weekday')",6,Weekday,0.15646258503401364
11-PRB-LAX,"(0.05194805194805195, 'Baseline')","(0.11688311688311688, 'Regular')","(0.2792207792207792, 'Weekday')",7,Weekday,0.16233766233766234
11-PRB-OXN,"(0.2662337662337662, 'Regular')","(0.2857142857142857, 'Baseline')","(0.35064935064935066, 'Weekday')",3,Weekday,0.06493506493506496
11-PRB-SLO,"(0.01282051282051282, 'Baseline')","(0.6987179487179487, 'Weekday')","(0.7884615384615384, 'Regular')",1,Regular,0.08974358974358976
11-PRB-VNC,"(0.01935483870967742, 'Baseline')","(0.15483870967741936, 'Regular')","(0.3032258064516129, 'Weekday')",5,Weekday,0.14838709677419354
11-RDD-DAV,"(0.25625, 'Baseline')","(0.2875, 'Weekday')","(0.45625, 'Regular')",3,Regular,0.16875
11-RDD-LAX,"(0.01948051948051948, 'Baseline')","(0.16883116883116883, 'Regular')","(0.24675324675324675, 'Weekday')",16,Weekday,0.07792207792207792
11-RDD-MTZ,"(0.15625, 'Baseline')","(0.23125, 'Weekday')","(0.29375, 'Regular')",4,Regular,0.0625
11-RDD-VNC,"(0.03225806451612903, 'Baseline')","(0.18064516129032257, 'Regular')","(0.23225806451612904, 'Weekday')",14,Weekday,0.05161290322580647
11-SAC-OXN,"(0.025806451612903226, 'Baseline')","(0.2064516129032258, 'Regular')","(0.27741935483870966, 'Weekday')",10,Weekday,0.07096774193548386
11-SAC-PRB,"(0.07692307692307693, 'Baseline')","(0.1987179487179487, 'Regular')","(0.3076923076923077, 'Weekday')",7,Weekday,0.108974358974359
11-SAC-SIM,"(0.12751677852348994, 'Baseline')","(0.22818791946308725, 'Regular')","(0.28859060402684567, 'Weekday')",11,Weekday,0.06040268456375841
11-SAC-SJC,"(0.1337579617834395, 'Baseline')","(0.24203821656050956, 'Regular')","(0.3057324840764331, 'Weekday')",5,Weekday,0.06369426751592355
11-SAC-SNS,"(0.050955414012738856, 'Baseline')","(0.20382165605095542, 'Regular')","(0.3503184713375796, 'Weekday')",6,Weekday,0.14649681528662417
11-SAC-VNC,"(0.11538461538461539, 'Baseline')","(0.1346153846153846, 'Regular')","(0.24358974358974358, 'Weekday')",12,Weekday,0.10897435897435898
11-SBA-LAX,"(0.03225806451612903, 'Baseline')","(0.21935483870967742, 'Regular')","(0.2709677419354839, 'Weekday')",5,Weekday,0.05161290322580647
11-SBA-OXN,"(0.2, 'Baseline')","(0.2838709677419355, 'Regular')","(0.3870967741935484, 'Weekday')",1,Weekday,0.10322580645161289
11-SBA-SIM,"(0.053691275167785234, 'Baseline')","(0.28859060402684567, 'Regular')","(0.47651006711409394, 'Weekday')",2,Weekday,0.18791946308724827
11-SBA-VNC,"(0.08333333333333333, 'Baseline')","(0.21794871794871795, 'Regular')","(0.28205128205128205, 'Weekday')",3,Weekday,0.0641025641025641
11-SEA-BUR,"(0.02702702702702703, 'Baseline')","(0.05405405405405406, 'Regular')","(0.13513513513513514, 'Weekday')",28,Weekday,0.08108108108108109
11-SEA-CIC,"(0.14375, 'Regular')","(0.15625, 'Weekday')","(0.2375, 'Baseline')",14,Baseline,0.08124999999999999
11-SEA-DAV,"(0.10625, 'Regular')","(0.11875, 'Weekday')","(0.59375, 'Baseline')",16,Baseline,0.475
11-SEA-DUN,"(0.13125, 'Regular')","(0.16875, 'Weekday')","(0.325, 'Baseline')",12,Baseline,0.15625
11-SEA-EMY,"(0.13125, 'Regular')","(0.15625, 'Weekday')","(0.475, 'Baseline')",18,Baseline,0.31875
11-SEA-LAX,"(0.05161290322580645, 'Baseline')","(0.2, 'Weekday')","(0.3032258064516129, 'Regular')",29,Regular,0.10322580645161289
11-SEA-MTZ,"(0.1125, 'Weekday')","(0.15, 'Regular')","(0.475, 'Baseline')",17,Baseline,0.32499999999999996
11-SEA-OKJ,"(0.0949367088607595, 'Weekday')","(0.11392405063291139, 'Regular')","(0.22784810126582278, 'Baseline')",19,Baseline,0.11392405063291139
11-SEA-OXN,"(0.09032258064516129, 'Regular')","(0.21935483870967742, 'Weekday')","(0.45806451612903226, 'Baseline')",25,Baseline,0.23870967741935484
11-SEA-PDX,"(0.09375, 'Baseline')","(0.30625, 'Regular')","(0.3875, 'Weekday')",6,Weekday,0.08124999999999999
11-SEA-PRB,"(0.10897435897435898, 'Regular')","(0.10897435897435898, 'Weekday')","(0.5705128205128205, 'Baseline')",22,Baseline,0.4615384615384615
11-SEA-RDD,"(0.14375, 'Regular')","(0.14375, 'Weekday')","(0.25625, 'Baseline')",13,Baseline,0.11249999999999999
11-SEA-SBA,"(0.15286624203821655, 'Regular')","(0.18471337579617833, 'Weekday')","(0.2802547770700637, 'Baseline')",24,Baseline,0.09554140127388536
11-SEA-SIM,"(0.020134228187919462, 'Regular')","(0.026845637583892617, 'Baseline')","(0.1610738255033557, 'Weekday')",26,Weekday,0.1342281879194631
11-SEA-SNS,"(0.09554140127388536, 'Regular')","(0.09554140127388536, 'Weekday')","(0.6369426751592356, 'Baseline')",21,Baseline,0.5414012738853503
11-SEA-VNC,"(0.01282051282051282, 'Baseline')","(0.21794871794871795, 'Weekday')","(0.38461538461538464, 'Regular')",27,Regular,0.16666666666666669
11-SIM-BUR,"(0.2695035460992908, 'Baseline')","(0.45390070921985815, 'Regular')","(0.6028368794326241, 'Weekday')",2,Weekday,0.14893617021276595
11-SIM-LAX,"(0.04054054054054054, 'Baseline')","(0.39864864864864863, 'Regular')","(0.46621621621621623, 'Weekday')",3,Weekday,0.0675675675675676
11-SIM-VNC,"(0.2751677852348993, 'Baseline')","(0.4161073825503356, 'Regular')","(0.5838926174496645, 'Weekday')",1,Weekday,0.1677852348993289
11-SJC-BUR,"(0.14864864864864866, 'Baseline')","(0.1891891891891892, 'Regular')","(0.25675675675675674, 'Weekday')",8,Weekday,0.06756756756756754
11-SJC-OXN,"(0.16129032258064516, 'Baseline')","(0.16774193548387098, 'Regular')","(0.3161290322580645, 'Weekday')",5,Weekday,0.1483870967741935
